rank,name,team,points,born,nation,height,weight,skis,boots,poles
109,Olli Tyrväinen,Team Edux,135,04.08.1993,FIN,,,,,
110,Eskil Frøisland,Team NTNUI Sweco,132,17.02.2000,NOR,,,Madshus,Madshus,Madshus
111,Nico Walther,TEAM BSV IBEX,131,29.09.1997,SUI,,,,,
112,Petter Myhr,Team Ramudden,130,05.03.2000,NOR,,,,,
113,Miro Karppanen,Team Kaski-Ekovilla,124,22.11.1998,FIN,,,,,
114,Mathis Desloges,Team Vercors Isère,122,01.05.2002,FRA,,,,,
115,Stefano Dal Magro,Team Robinson Trentino,121,,,,,,,
116,Alvar Johannes Alev,Team Fikala Evecon,120,29.09.1993,EST,,,,,
117,Lucas Gaillard,Team Vercors Isère,116,30.10.1999,FRA,,,,,
118,Lars Sørensen,Team Front Rustad IL,115,26.02.1998,NOR,,,,,
119,Ludvig Vartdal,Team NTNUI Sweco,112,02.02.1999,NOR,,,,,
120,Mathias Aas Rolid,Team Coop Madshus,107,08.03.1996,NOR,197 cm,86 kg,Salomon,Salomon,Swix
121,Tor Olav Hægeland,Team Front Rustad IL,106,12.04.1998,NOR,,,,,
122,Sadurni Betriu Boix,Team Internorm Alpenplus Trentino,104,12.06.1982,ESP,,,,,
123,Jakob Karlsson,Exsitec Ski Team,104,04.11.1988,SWE,189 cm,90 kg,Fischer,Fischer,KV+
124,Joachim Weel Rosbo,Danish Ski Maraton Team,102,23.02.1997,DEN,,,,,
125,Dennis Steensen,YC Rør Sjusjøen Ski Team,101,09.07.2001,NOR,,,,,
125,George Ersson,Ski Team Göhlins,101,08.06.2001,SWE,,,,,
127,Victor Cullet Calderini,i3 Ski Team,100,04.04.2002,FRA,,,,,
127,Joel Björnlinger,Ski Team Göhlins,100,02.04.2003,SWE,,,,,
129,Hannes Mäenpää,Team Mäenpää,100,26.06.1996,FIN,,,,,
130,Simon Jonsson,Ski Team Göhlins,99,02.09.1998,SWE,,,,,
130,Petr Kolaja,Vltava Fund Ski Team,99,25.04.2000,CZE,,,,,
130,Oskar Opstad Vike,Team Ragde Charge,99,07.01.2004,NOR,,,,,
133,Mattis Basille,Team Nordic Expérience,96,20.06.2001,FRA,,,,,
134,Bastien Laurent,Team Nordic Expérience,93,26.02.2002,FRA,183 cm,77 kg,Madshus,Madshus,Leki 
135,Martin Jakš,eD system Silvini Team,90,06.09.1986,CZE,,,,,
136,Gaute Kvåle,Team Kaffebryggeriet,88,18.03.1995,NOR,,,,,
137,Till Hartmann,Bruse Sauerland Ski Team,83,12.09.2001,GER,,,,,
137,Emanuele Busin,Team Internorm Alpenplus Trentino,83,22.01.2002,ITA,,,,,
139,Stanislav Řezáč,Slavia Pojišťovna Sport Team,73,29.04.1973,CZE,,,,,
140,Pål Trøan Aune,Team Janteloppet,71,29.03.1992,NOR,,,,,
141,Imanol Rojo,Team Coop Madshus,65,30.11.1990,ESP,,,,,
142,Joonas Sarkkinen,Team Edux,58,06.08.1994,FIN,,,,,
143,Emanuele Bosin,Team Futura Trentino GTE Elettrica,54,23.12.1998,ITA,,,,,
144,Jonathan Göppert,xc-ski.de A|N Skimarathon Team,53,23.02.2002,GER,,,,,
145,Vaino Kotro,Team Kaski-Ekovilla,52,29.03.2000,FIN,,,,,
146,Birger Hartmann,Bruse Sauerland Ski Team,51,12.09.2001,GER,,,,,
147,Lorenz Grüber,Ski-Willy Marathon Team Austria,50,15.08.1999,AUT,181 cm,73 kg,Atomic,Alpina,Swix
148,Brice Milici,Team Nordic Expérience,48,09.09.2000,FRA,,,,,
149,Halfdan Thomas Baumann,Team NTNUI Sweco,46,13.06.2002,NOR,,,,,
149,David Sulkakoski,Team Mäenpää,46,24.02.1995,FIN,,,,,
151,Uku Leipalu,Team Fikala Evecon,44,04.02.2002,EST,,,,,
152,Kaspar Kaasla,Team Fikala Evecon,41,20.12.1994,EST,,,,,
153,Mauro Brigadoi,Team Internorm Alpenplus Trentino,39,05.01.1992,ITA,176 cm,71 kg,Madshus,Madshus,Swix
154,Ståle Fenstad,Team Front Rustad IL,37,19.07.1986,NOR,190 cm,90 kg,,,Leki
154,Nils Ø. Berg,Team Front Rustad IL,37,31.01.1969,NOR,,,,,
156,Sabin Coupat,Team Nordic Expérience,34,07.09.2000,FRA,,,,,
157,Adrian Bosshart,xc-ski.de A|N Skimarathon Team,33,21.07.1994,SUI,174 cm,68 kg,Fischer,Alpina,Swix
158,Tobias Dargatz,xc-ski.de A|N Skimarathon Team,29,01.05.1990,GER,181 cm,66 kg,Fischer,FISCHER,SWIX
159,Max Bernshausen,Bruse Sauerland Ski Team,27,27.10.2002,GER,,,,,
159,Markus Köcheler,xc-ski.de A|N Skimarathon Team,27,26.09.1996,GER,,,,,
161,Sivert Leander Johansen,Team Næringsbanken Stora Enso,26,04.12.1999,NOR,,,,,
162,Maurice Manificat,Team Vercors Isère,15,04.04.1985,FRA,,,,,
163,Adam Fellner,eD system Silvini Team,14,10.08.1993,CZE,,,,,
164,Simon Onnich,Bruse Sauerland Ski Team,12,08.10.2005,GER,,,,,
